Year,State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,total number 
2001,Alabama,4468912,19582,379,1369,0,5584,12250,173253,40642,119992,12619,385670
2001, Alaska,633630,3735,39,501,0,514,2681,23160,3847,16695,2618,26895
2001,Arizona,5306966,28675,400,1518,0,8868,17889,293874,54821,186850,52203,322549
2001,Arkansas,2694698,12190,148,892,0,2181,8969,99106,22196,69590,7320,111296
2001,California,34600463,212867,2206,9960,0,64614,136087,1134189,232273,697739,204177,1347056
2001, Colorado,4430989,15492,158,1930,0,3555,9849,170887,28533,121360,20994,186379
2001,Connecticut,3434602,11492,105,639,0,4183,6565,95299,17159,65762,12378,106791
2001,Delaware,796599,4868,23,420,0,1156,3269,27399,5144,19476,2779,32267
2001,Florida,16373330,130713,874,6641,0,32867,90331,782517,176052,516548,89917,913230
2001,Georgia,8405677,41671,598,2180,0,14402,24491,347872,71799,238484,37589,389543
2001,Hawaii,1227024,3117,32,409,0,1142,1534,62830,11162,44925,6743,65947
2001,Idaho,1320585,3211,30,425,0,245,2511,38181,7507,28285,2389,41392
2001,Illinois,12520227,79270,982,4010,0,24931,49347,434648,79158,306757,48733,513918
2001,Indiana,6126743,22734,413,1716,0,7171,13434,211548,42758,147291,21499,234282
2001,Iowa,2931967,7865,50,649,0,1154,6012,88634,16885,66244,5505,96499
2001,Kansas,2702125,10909,92,945,0,2423,7449,105537,20514,77038,7985,116446
2001,Kentucky,4068816,10510,181,1051,0,3269,6009,107356,26964,71448,8944,117866
2001,Louisiana,4470368,30678,501,1403,0,7864,20910,207693,46451,139555,21687,238371
2001,Maine,1284470,1435,19,326,0,264,826,33154,6898,24585,1671,34589
2001,Maryland,5386079,42088,446,1449,0,13525,26668,219512,41553,145934,32025,261600
2001,Massachusetts,6401164,30585,143,1856,0,6476,22110,167079,32430,106821,27828,197664
