Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,217156,Brown University,1,Main Campus,7774,0,0,0,,,0,,,2,0,63,14,0
2002,217156,Brown University,1,Main Campus,7892,0,0,7,,,0,,,5,6,86,6,0
2003,217156,Brown University,1,Main Campus,7882,0,0,1,,,0,,,2,2,49,7,0
2004,217156,Brown University,1,Main Campus,8004,0,0,3,,,0,,,1,1,40,3,0
2005,217156,Brown University,1,Main Campus,8261,0,0,4,,,0,,,1,3,16,4,0
2006,217156,Brown University,1,Main Campus,8125,0,0,3,,,0,,,3,4,58,3,0
2007,217156,Brown University,1,Main Campus,8167,0,0,9,,,0,,,2,1,54,2,0
2008,217156,Brown University,1,Main Campus,8318,0,0,4,,,0,,,0,0,83,7,1
2009,217156,Brown University,1,Main Campus,8574,0,0,10,,,1,,,1,1,67,0,0
2010,217156,Brown University,1,Main Campus,8705,0,0,9,,,0,,,0,1,39,0,0
2011,217156,Brown University,1,Main Campus,8768,0,0,7,,,0,,,1,1,37,0,0
2012,217156,Brown University,1,Main Campus,8885,0,0,16,,,0,,,1,0,21,0,0
2013,217156,Brown University,1,Main Campus,8943,0,0,21,,,0,,,2,1,58,1,0
2014,217156,Brown University,1,Main Campus,9181,0,0,,43,0,,0,0,0,0,20,0,0
