Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110404,California Institute of Technology,1,Main Campus,2058,0,0,0,,,0,,,0,0,28,1,0
2002,110404,California Institute of Technology,1,Main Campus,2120,0,0,0,,,0,,,0,0,49,1,1
2003,110404,California Institute of Technology,1,Main Campus,2172,0,0,0,,,0,,,0,0,79,3,0
2004,110404,California Institute of Technology,1,Main Campus,2171,0,0,1,,,0,,,0,0,62,3,0
2005,110404,California Institute of Technology,1,Main Campus,2169,0,0,0,,,0,,,1,1,31,2,1
2006,110404,California Institute of Technology,1,Main Campus,2086,0,0,0,,,0,,,0,0,65,1,0
2007,110404,California Institute of Technology,1,Main Campus,2133,0,0,0,,,0,,,0,0,73,2,1
2008,110404,California Institute of Technology,1,Main Campus,2126,0,0,0,,,0,,,0,0,53,0,1
2009,110404,California Institute of Technology,1,Main Campus,2130,0,0,0,,,0,,,1,0,2,1,0
2010,110404,California Institute of Technology,1,Main Campus,2175,0,0,0,,,0,,,0,0,3,2,0
2011,110404,California Institute of Technology,1,Main Campus,2231,0,0,0,,,0,,,0,0,6,2,0
2012,110404,California Institute of Technology,1,Main Campus,2243,0,0,1,,,0,,,0,0,11,3,0
2013,110404,California Institute of Technology,1,Main Campus,2181,0,0,4,,,0,,,1,0,18,2,0
2014,110404,California Institute of Technology,1,Main Campus,2209,0,0,,2,4,,0,0,0,0,22,1,0
