Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,211440,Carnegie Mellon University,1,Main Campus,8588,0,0,2,,,0,,,1,1,16,1,2
2002,211440,Carnegie Mellon University,1,Main Campus,9501,0,0,3,,,0,,,0,0,23,1,5
2003,211440,Carnegie Mellon University,1,Main Campus,9756,0,0,1,,,0,,,0,2,18,0,3
2004,211440,Carnegie Mellon University,1,Main Campus,9803,0,0,8,,,0,,,3,3,48,9,2
2005,211440,Carnegie Mellon University,1,Main Campus,10017,0,0,0,,,0,,,0,1,42,5,1
2006,211440,Carnegie Mellon University,1,Main Campus,9999,0,0,1,,,0,,,6,3,47,11,1
2007,211440,Carnegie Mellon University,1,Main Campus,10326,0,0,4,,,0,,,0,0,34,1,0
2008,211440,Carnegie Mellon University,1,Main Campus,10875,0,0,5,,,0,,,1,1,22,0,0
2009,211440,Carnegie Mellon University,1,Main Campus,11197,0,0,3,,,0,,,1,0,16,1,0
2010,211440,Carnegie Mellon University,1,Main Campus,11340,0,0,1,,,0,,,0,1,12,3,1
2011,211440,Carnegie Mellon University,1,Main Campus,11531,0,0,5,,,0,,,0,2,21,0,1
2012,211440,Carnegie Mellon University,1,Main Campus,11978,0,0,15,,,0,,,1,1,25,1,0
2013,211440,Carnegie Mellon University,1,Main Campus,12367,0,0,16,,,0,,,1,4,14,1,0
2014,211440,Carnegie Mellon University,1,Main Campus,12587,0,0,,6,3,,0,0,0,0,20,1,0
