Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,182670,Dartmouth College,1,Dartmouth College  Main Campus,5495,0,0,4,,,0,,,0,0,19,1,0
2002,182670,Dartmouth College,1,Dartmouth College  Main Campus,5593,0,0,2,,,0,,,0,0,24,1,0
2003,182670,Dartmouth College,1,Dartmouth College  Main Campus,5682,0,0,7,,,0,,,1,0,36,2,1
2004,182670,Dartmouth College,1,Dartmouth College  Main Campus,5704,0,0,8,,,0,,,0,2,43,0,3
2005,182670,Dartmouth College,1,Dartmouth College  Main Campus,5780,0,0,14,,,0,,,0,0,34,1,3
2006,182670,Dartmouth College,1,Dartmouth College  Main Campus,5753,0,0,13,,,0,,,0,0,46,3,0
2007,182670,Dartmouth College,1,Dartmouth College  Main Campus,5849,0,0,18,,,0,,,0,0,42,1,0
2008,182670,Dartmouth College,1,Dartmouth College  Main Campus,5848,0,0,22,,,0,,,0,0,20,1,1
2009,182670,Dartmouth College,1,Dartmouth College  Main Campus,5987,0,0,10,,,0,,,0,0,5,1,2
2010,182670,Dartmouth College,1,Dartmouth College  Main Campus,6141,0,0,12,,,0,,,1,0,4,0,1
2011,182670,Dartmouth College,1,Dartmouth College  Main Campus,6144,0,0,12,,,0,,,0,0,6,0,1
2012,182670,Dartmouth College,1,Dartmouth College  Main Campus,6277,0,0,11,,,0,,,0,0,9,0,2
2013,182670,Dartmouth College,1,Dartmouth College  Main Campus,6342,0,0,26,,,0,,,0,0,15,1,1
2014,182670,Dartmouth College,1,Dartmouth College  Main Campus,6298,0,0,,42,6,,0,0,1,0,14,2,0
