Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,198419,Duke University,1,Main Campus,11926,0,0,8,,,0,,,10,5,66,6,1
2001,198419,Duke University,2,Marine Laboratory,11926,0,0,0,,,0,,,0,0,0,0,0
2002,198419,Duke University,1,Main Campus,12488,0,0,10,,,0,,,4,15,64,8,1
2002,198419,Duke University,2,Marine Laboratory,12488,0,0,0,,,0,,,0,0,0,0,0
2003,198419,Duke University,1,Main Campus,12223,0,0,6,,,0,,,5,7,37,11,0
2003,198419,Duke University,2,Marine Laboratory,12223,0,0,0,,,0,,,0,0,0,0,0
2004,198419,Duke University,1,Main Campus,12770,0,0,10,,,0,,,7,14,34,4,2
2004,198419,Duke University,2,Marine Laboratory,12770,0,0,0,,,0,,,0,0,0,0,0
2005,198419,Duke University,1,Main Campus,14075,0,0,10,,,0,,,4,6,47,13,3
2005,198419,Duke University,2,Marine Laboratory,14075,0,0,0,,,0,,,0,0,0,0,0
2006,198419,Duke University,1,Main Campus,13373,0,0,7,,,0,,,0,4,53,7,0
2006,198419,Duke University,2,Marine Laboratory,13373,0,0,0,,,0,,,0,0,0,0,0
2007,198419,Duke University,1,Main Campus,13598,0,0,5,,,0,,,2,1,63,11,0
2007,198419,Duke University,2,Marine Laboratory,13598,0,0,0,,,0,,,0,0,0,0,0
2008,198419,Duke University,1,Main Campus,14060,0,0,5,,,0,,,1,4,50,5,3
2008,198419,Duke University,2,Marine Laboratory,14060,0,0,0,,,0,,,0,0,0,0,0
2009,198419,Duke University,1,Main Campus,14350,0,0,13,,,0,,,4,11,47,11,1
2009,198419,Duke University,2,Marine Laboratory,14350,0,0,0,,,0,,,0,0,0,0,0
2010,198419,Duke University,1,Main Campus,15016,0,0,12,,,0,,,3,5,50,12,1
2010,198419,Duke University,2,Marine Laboratory,15016,0,0,0,,,0,,,0,0,0,0,0
2011,198419,Duke University,1,Main Campus,15427,0,0,7,,,1,,,2,6,54,9,2
2011,198419,Duke University,2,Marine Laboratory,15427,0,0,0,,,0,,,0,0,0,0,0
2012,198419,Duke University,1,Main Campus,15386,0,0,12,,,0,,,1,3,59,14,0
2012,198419,Duke University,2,Marine Laboratory,15386,0,0,0,,,0,,,0,0,0,0,0
2013,198419,Duke University,1,Main Campus,15467,0,0,6,,,0,,,6,0,45,11,2
2013,198419,Duke University,2,Marine Laboratory,15467,0,0,1,,,0,,,0,0,1,0,0
2014,198419,Duke University,1,Main Campus,15856,0,0,,11,3,,0,0,1,8,51,9,0
2014,198419,Duke University,2,Marine Laboratory,15856,0,0,,0,0,,0,0,0,0,0,0,0
