Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,131496,Georgetown University,1,Georgetown University Main Campus,12688,0,0,8,,,0,,,0,1,68,5,1
2002,131496,Georgetown University,1,Georgetown University Main Campus,12856,0,0,9,,,0,,,0,1,29,1,0
2003,131496,Georgetown University,1,Georgetown University Main Campus,13164,0,0,16,,,0,,,1,0,26,5,0
2004,131496,Georgetown University,1,Georgetown University Main Campus,13233,0,0,18,,,0,,,0,0,39,4,1
2005,131496,Georgetown University,1,Georgetown University Main Campus,13652,0,0,4,,,0,,,0,11,26,1,0
2006,131496,Georgetown University,1,Georgetown University Main Campus,14148,0,0,5,,,0,,,1,0,22,0,0
2007,131496,Georgetown University,1,Georgetown University Main Campus,14826,0,0,6,,,0,,,0,1,20,0,1
2008,131496,Georgetown University,1,Georgetown University Main Campus,15318,0,0,8,,,0,,,0,2,12,0,0
2009,131496,Georgetown University,1,Georgetown University Main Campus,16520,0,0,9,,,0,,,2,3,27,0,0
2010,131496,Georgetown University,1,Georgetown University Main Campus,16937,0,0,8,,,0,,,2,1,38,1,0
2011,131496,Georgetown University,1,Georgetown University Main Campus,17130,0,0,3,,,0,,,1,2,35,0,0
2012,131496,Georgetown University,1,Georgetown University Main Campus,17357,0,0,4,,,0,,,1,8,55,0,1
2013,131496,Georgetown University,1,Georgetown University Main Campus,17849,0,0,6,,,0,,,0,2,45,1,0
2014,131496,Georgetown University,1,Georgetown University Main Campus,17858,0,0,,12,2,,0,0,1,2,41,3,0
