Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,17826,0,0,0,,,0,,,11,1,12,1,2
2002,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,17989,0,0,2,,,0,,,4,3,4,1,2
2003,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,18820,0,0,2,,,0,,,3,1,7,6,2
2004,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,18626,0,0,1,,,0,,,0,2,4,5,0
2005,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,19225,0,0,1,,,0,,,1,0,6,0,0
2006,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,19708,0,0,0,,,0,,,0,0,0,2,0
2007,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,19682,0,0,0,,,0,,,0,0,5,0,0
2008,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,19758,0,0,0,,,0,,,0,0,2,0,0
2009,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,20383,0,0,0,,,0,,,0,0,0,0,0
2010,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,20977,0,0,0,,,0,,,1,0,1,0,0
2011,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,20996,0,0,1,,,0,,,0,0,0,1,0
2012,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,20871,0,0,5,,,0,,,1,0,1,0,0
2013,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,20918,0,0,1,,,0,,,1,1,3,0,0
2014,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,21372,0,0,,3,0,,0,0,0,2,6,2,0
