Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,166683,Massachusetts Institute of Technology,1,MIT,10197,0,0,1,,,0,,,0,2,23,15,0
2002,166683,Massachusetts Institute of Technology,1,MIT,10317,0,0,1,,,0,,,2,6,34,6,0
2003,166683,Massachusetts Institute of Technology,1,MIT,10340,0,0,6,,,0,,,1,3,101,10,2
2004,166683,Massachusetts Institute of Technology,1,MIT,10320,0,0,1,,,0,,,2,4,108,10,1
2005,166683,Massachusetts Institute of Technology,1,MIT,10206,0,0,0,,,0,,,1,2,289,3,0
2006,166683,Massachusetts Institute of Technology,1,MIT,10253,0,0,11,,,0,,,1,5,253,3,1
2007,166683,Massachusetts Institute of Technology,1,MIT,10220,0,0,2,,,0,,,0,5,197,10,1
2008,166683,Massachusetts Institute of Technology,1,MIT,10299,0,0,3,,,0,,,3,3,86,3,0
2009,166683,Massachusetts Institute of Technology,1,MIT,10384,0,0,3,,,0,,,2,1,126,2,1
2010,166683,Massachusetts Institute of Technology,1,MIT,10566,0,0,3,,,0,,,2,1,22,1,0
2011,166683,Massachusetts Institute of Technology,1,MIT,10894,0,0,6,,,0,,,2,1,16,1,0
2012,166683,Massachusetts Institute of Technology,1,MIT,11189,0,0,9,,,0,,,1,0,5,1,0
2013,166683,Massachusetts Institute of Technology,1,MIT,11301,1,0,13,,,0,,,0,1,17,3,3
2014,166683,Massachusetts Institute of Technology,1,MIT,11319,0,0,,14,8,,0,0,5,5,2,3,1
