Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,147767,Northwestern University,1,Main Campus,17000,0,0,2,,,1,,,0,0,47,4,0
2002,147767,Northwestern University,1,Main Campus,17528,0,0,1,,,0,,,1,1,28,6,1
2003,147767,Northwestern University,1,Main Campus,17625,0,0,4,,,0,,,6,0,50,4,0
2004,147767,Northwestern University,1,Main Campus,17747,0,0,1,,,0,,,6,2,28,3,0
2005,147767,Northwestern University,1,Main Campus,18065,0,0,1,,,0,,,1,2,34,0,1
2006,147767,Northwestern University,1,Main Campus,18486,0,0,2,,,0,,,3,1,168,2,2
2007,147767,Northwestern University,1,Main Campus,19005,0,0,5,,,0,,,1,1,109,2,1
2008,147767,Northwestern University,1,Main Campus,19291,0,0,5,,,0,,,3,3,134,1,0
2009,147767,Northwestern University,1,Main Campus,19853,0,0,5,,,0,,,0,1,47,1,0
2010,147767,Northwestern University,1,Main Campus,20481,0,0,3,,,0,,,0,0,33,0,0
2011,147767,Northwestern University,1,Main Campus,20959,0,0,3,,,0,,,3,0,46,0,0
2012,147767,Northwestern University,1,Main Campus,21215,0,0,2,,,0,,,0,1,17,0,0
2013,147767,Northwestern University,1,Main Campus,21592,0,0,7,,,0,,,1,0,16,3,0
2014,147767,Northwestern University,1,Main Campus,21554,0,0,,3,3,,0,0,0,2,19,0,1
