Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,186131,Princeton University,1,Main Campus,6668,0,0,10,,,0,,,1,7,60,4,0
2001,186131,Princeton University,2,James Forrestal Campus,6668,0,0,0,,,0,,,0,0,0,0,0
2002,186131,Princeton University,1,Main Campus,6646,0,0,8,,,0,,,0,0,68,16,3
2002,186131,Princeton University,2,James Forrestal Campus,6646,0,0,0,,,0,,,0,0,0,0,0
2003,186131,Princeton University,1,Main Campus,6688,0,0,10,,,0,,,0,2,63,13,2
2003,186131,Princeton University,2,James Forrestal Campus,6688,0,0,0,,,0,,,0,0,0,0,0
2004,186131,Princeton University,1,Main Campus,6708,0,0,3,,,0,,,0,1,58,13,0
2004,186131,Princeton University,2,James Forrestal Campus,6708,0,0,0,,,0,,,0,0,0,0,0
2005,186131,Princeton University,1,Main Campus,6773,0,0,5,,,0,,,0,0,42,19,6
2005,186131,Princeton University,2,James Forrestal Campus,6773,0,0,0,,,0,,,0,0,7,0,0
2006,186131,Princeton University,1,Main Campus,7085,0,0,12,,,1,,,0,0,37,8,0
2006,186131,Princeton University,2,James Forrestal Campus,7085,0,0,0,,,0,,,0,0,0,0,0
2007,186131,Princeton University,1,Main Campus,7261,0,0,14,,,0,,,0,6,57,3,2
2007,186131,Princeton University,2,James Forrestal Campus,7261,0,0,0,,,0,,,0,0,0,0,0
2008,186131,Princeton University,1,Main Campus,7330,0,0,18,,,0,,,0,5,58,3,7
2008,186131,Princeton University,2,James Forrestal Campus,7330,0,0,0,,,0,,,0,0,0,0,0
2009,186131,Princeton University,1,Main Campus,7592,0,0,11,,,0,,,0,0,45,2,3
2009,186131,Princeton University,2,James Forrestal Campus,7592,0,0,0,,,0,,,0,0,1,0,0
2010,186131,Princeton University,1,Main Campus,7724,0,0,13,,,0,,,0,1,30,4,5
2010,186131,Princeton University,2,James Forrestal Campus,7724,0,0,0,,,0,,,0,0,0,0,0
2011,186131,Princeton University,1,Main Campus,7813,0,0,16,,,0,,,0,1,30,0,0
2011,186131,Princeton University,2,James Forrestal Campus,7813,0,0,0,,,0,,,0,0,0,0,0
2012,186131,Princeton University,1,Main Campus,7975,0,0,17,,,0,,,0,0,27,0,0
2012,186131,Princeton University,2,James Forrestal Campus,7975,0,0,0,,,0,,,0,0,0,0,0
2013,186131,Princeton University,1,Main Campus,8014,0,0,5,,,0,,,0,0,41,4,1
2013,186131,Princeton University,2,James Forrestal Campus,8014,0,0,0,,,0,,,0,0,0,0,0
2014,186131,Princeton University,1,Main Campus,8088,0,0,,4,2,,0,0,0,0,32,14,1
2014,186131,Princeton University,2,James Forrestal Campus,8088,0,0,,0,0,,0,0,0,0,0,0,0
