Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,227757,Rice University,1,Main Campus,4367,0,0,2,,,0,,,0,5,15,8,1
2002,227757,Rice University,1,Main Campus,4633,0,0,1,,,0,,,0,2,8,7,0
2003,227757,Rice University,1,Main Campus,4805,0,0,2,,,0,,,2,6,57,2,1
2004,227757,Rice University,1,Main Campus,4855,0,0,0,,,0,,,0,3,64,0,0
2005,227757,Rice University,1,Main Campus,5095,0,0,1,,,0,,,0,9,56,0,0
2006,227757,Rice University,1,Main Campus,5024,0,0,4,,,0,,,0,1,47,6,0
2007,227757,Rice University,1,Main Campus,5161,0,0,1,,,0,,,1,2,30,5,0
2008,227757,Rice University,1,Main Campus,5357,0,0,0,,,0,,,2,2,12,2,0
2009,227757,Rice University,1,Main Campus,5576,0,0,2,,,0,,,0,0,33,0,0
2010,227757,Rice University,1,Main Campus,5879,0,0,1,,,0,,,0,0,31,4,0
2011,227757,Rice University,1,Main Campus,6224,0,0,2,,,0,,,1,0,10,1,0
2012,227757,Rice University,1,Main Campus,6484,0,0,2,,,0,,,4,2,3,0,0
2013,227757,Rice University,1,Main Campus,6628,0,0,2,,,0,,,1,0,5,1,1
2014,227757,Rice University,1,Main Campus,6621,0,0,,8,6,,0,0,1,2,3,4,1
