Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,243744,Stanford University,1,Main Campus,18591,0,0,0,,,0,,,7,3,208,31,5
2001,243744,Stanford University,3,Hopkins Marine Station,18591,0,0,0,,,0,,,0,0,0,0,0
2002,243744,Stanford University,1,Main Campus,18297,0,0,5,,,0,,,1,2,156,55,3
2002,243744,Stanford University,3,Hopkins Marine Station,18297,0,0,0,,,0,,,0,0,0,0,0
2003,243744,Stanford University,1,Main Campus,17824,0,0,38,,,0,,,1,1,142,35,2
2003,243744,Stanford University,3,Hopkins Marine Station,17824,0,0,0,,,0,,,0,0,0,0,0
2004,243744,Stanford University,1,Main Campus,18836,0,0,5,,,0,,,2,3,109,39,1
2004,243744,Stanford University,3,Hopkins Marine Station,18836,0,0,0,,,0,,,0,0,0,0,0
2005,243744,Stanford University,1,Main Campus,19042,0,0,4,,,0,,,1,7,111,45,2
2005,243744,Stanford University,3,Hopkins Marine Station,19042,0,0,0,,,0,,,0,0,0,0,0
2006,243744,Stanford University,1,Main Campus,17747,0,0,10,,,2,,,3,11,107,46,2
2006,243744,Stanford University,3,Hopkins Marine Station,17747,0,0,0,,,0,,,0,0,0,0,0
2007,243744,Stanford University,1,Main Campus,19782,0,0,12,,,0,,,5,10,137,34,6
2007,243744,Stanford University,3,Hopkins Marine Station,19782,0,0,0,,,0,,,0,0,0,0,0
2008,243744,Stanford University,1,Main Campus,17833,0,0,10,,,0,,,0,9,174,35,6
2008,243744,Stanford University,3,Hopkins Marine Station,17833,0,0,0,,,0,,,0,0,0,0,0
2009,243744,Stanford University,1,Main Campus,18498,0,0,10,,,0,,,2,5,146,15,1
2009,243744,Stanford University,3,Hopkins Marine Station,18498,0,0,0,,,0,,,0,0,0,0,0
2010,243744,Stanford University,1,Main Campus,19535,0,0,21,,,0,,,1,4,180,14,1
2010,243744,Stanford University,3,Hopkins Marine Station,19535,0,0,0,,,0,,,0,0,0,0,0
2011,243744,Stanford University,1,Main Campus,19945,0,0,12,,,0,,,2,2,101,20,5
2011,243744,Stanford University,3,Hopkins Marine Station,19945,0,0,0,,,0,,,0,0,0,0,0
2012,243744,Stanford University,1,Main Campus,18519,0,0,26,,,0,,,1,10,102,15,0
2012,243744,Stanford University,3,Hopkins Marine Station,18519,0,0,0,,,0,,,0,0,0,0,0
2013,243744,Stanford University,1,Main Campus,18346,0,0,26,,,0,,,2,3,94,17,0
2013,243744,Stanford University,3,Hopkins Marine Station,18346,0,0,0,,,0,,,0,0,0,0,0
2014,243744,Stanford University,1,Main Campus,16963,0,0,,26,4,,0,0,0,9,49,20,0
2014,243744,Stanford University,3,Hopkins Marine Station,16963,0,0,,0,0,,0,0,0,0,0,0,0
