Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,168148,Tufts University,1,Medford/Somerville Campus,9082,0,0,4,,,0,,,1,9,18,4,0
2002,168148,Tufts University,1,Medford/Somerville Campus,9432,0,0,13,,,0,,,0,7,23,0,0
2003,168148,Tufts University,1,Medford/Somerville Campus,9509,0,0,11,,,0,,,0,0,55,2,0
2004,168148,Tufts University,1,Medford/Somerville Campus,9690,0,0,5,,,0,,,4,1,35,6,0
2005,168148,Tufts University,1,Medford/Somerville Campus,9776,0,0,6,,,0,,,2,4,35,6,0
2006,168148,Tufts University,1,Medford/Somerville Campus,9638,0,0,10,,,0,,,2,9,54,0,0
2007,168148,Tufts University,1,Medford/Somerville Campus,9758,0,0,5,,,0,,,3,1,32,0,1
2008,168148,Tufts University,1,Medford/Somerville Campus,10030,0,0,8,,,0,,,0,1,43,0,0
2009,168148,Tufts University,1,Medford/Somerville Campus,10252,0,0,7,,,0,,,1,0,29,1,0
2010,168148,Tufts University,1,Medford/Somerville Campus,10480,0,0,10,,,0,,,0,2,20,1,0
2011,168148,Tufts University,1,Medford/Somerville Campus,10777,0,0,2,,,0,,,2,3,18,0,0
2012,168148,Tufts University,1,Medford/Somerville Campus,10837,0,0,5,,,0,,,0,6,16,1,3
2013,168148,Tufts University,1,Medford/Somerville Campus,10872,0,0,12,,,0,,,1,2,13,0,0
2014,168148,Tufts University,1,Medford/Somerville Campus,10907,0,0,,12,2,,0,0,0,2,18,0,0
