Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110635,University of California-Berkeley,1,Main Campus,32128,0,0,2,,,0,,,13,5,60,19,3
2002,110635,University of California-Berkeley,1,Main Campus,33145,0,0,7,,,0,,,12,5,88,19,1
2003,110635,University of California-Berkeley,1,Main Campus,33065,0,0,16,,,0,,,10,9,80,30,7
2004,110635,University of California-Berkeley,1,Main Campus,32803,0,0,22,,,0,,,6,5,84,19,5
2005,110635,University of California-Berkeley,1,Main Campus,33547,0,0,5,,,0,,,15,5,69,19,4
2006,110635,University of California-Berkeley,1,Main Campus,33920,0,0,8,,,0,,,17,10,77,14,1
2007,110635,University of California-Berkeley,1,Main Campus,34940,0,0,4,,,0,,,24,11,74,12,11
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,0,11,,,0,,,20,22,54,8,3
2009,110635,University of California-Berkeley,1,Main Campus,35830,0,0,5,,,0,,,13,14,48,14,12
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,0,6,,,0,,,14,8,63,13,9
2011,110635,University of California-Berkeley,1,Main Campus,36137,0,0,30,,,1,,,9,7,40,14,6
2012,110635,University of California-Berkeley,1,Main Campus,35893,0,0,13,,,1,,,18,4,69,9,3
2013,110635,University of California-Berkeley,1,Main Campus,36198,1,0,13,,,0,,,16,14,56,11,3
2014,110635,University of California-Berkeley,1,Main Campus,37565,0,0,,15,9,,0,1,23,5,61,20,6
