Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,0,11,,,0,,,6,4,120,52,0
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,0,16,,,0,,,6,22,182,32,1
2003,110662,University of California-Los Angeles,1,UCLA,37055,0,0,12,,,0,,,5,6,176,43,0
2004,110662,University of California-Los Angeles,1,UCLA,35966,0,0,8,,,0,,,1,7,180,57,0
2005,110662,University of California-Los Angeles,1,UCLA,35625,0,0,4,,,0,,,3,5,213,30,0
2006,110662,University of California-Los Angeles,1,UCLA,36611,0,0,9,,,0,,,4,5,131,27,0
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,0,13,,,0,,,5,7,163,21,1
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,0,31,,,0,,,3,2,123,23,1
2009,110662,University of California-Los Angeles,1,UCLA,38550,0,0,11,,,0,,,5,9,111,14,0
2010,110662,University of California-Los Angeles,1,UCLA,38157,0,0,21,,,1,,,2,2,125,14,2
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,0,8,,,0,,,2,4,118,7,0
2012,110662,University of California-Los Angeles,1,UCLA,39945,0,0,15,,,0,,,5,1,76,6,1
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,0,34,,,0,,,2,7,75,11,1
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,0,,17,9,,0,0,2,11,79,5,0
