Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,144050,University of Chicago,1,Main Campus,12883,0,0,1,,,0,,,1,0,62,1,1
2002,144050,University of Chicago,1,Main Campus,13177,0,0,1,,,0,,,2,1,40,0,0
2003,144050,University of Chicago,1,Main Campus,13887,0,0,2,,,0,,,2,0,41,5,0
2004,144050,University of Chicago,1,Main Campus,13870,0,0,0,,,0,,,2,1,39,0,2
2005,144050,University of Chicago,1,Main Campus,14150,0,0,2,,,0,,,0,1,58,0,3
2006,144050,University of Chicago,1,Main Campus,14263,0,0,3,,,0,,,3,2,64,1,0
2007,144050,University of Chicago,1,Main Campus,14538,0,0,3,,,0,,,0,0,68,0,0
2008,144050,University of Chicago,1,Main Campus,14788,0,0,0,,,0,,,0,0,27,0,0
2009,144050,University of Chicago,1,Main Campus,15094,0,0,1,,,0,,,1,2,27,0,0
2010,144050,University of Chicago,1,Main Campus,15152,0,0,3,,,0,,,1,0,20,0,0
2011,144050,University of Chicago,1,Main Campus,14979,0,0,5,,,0,,,2,0,7,2,0
2012,144050,University of Chicago,1,Main Campus,15245,0,0,5,,,0,,,0,0,12,0,0
2013,144050,University of Chicago,1,Main Campus,15048,0,0,10,,,0,,,0,2,13,4,0
2014,144050,University of Chicago,1,Main Campus,15097,0,0,,5,5,,0,0,0,3,14,0,1
