Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,38248,0,0,10,,,0,,,9,15,107,22,10
2002,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,38972,0,0,23,,,0,,,20,21,150,17,17
2003,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39031,0,0,22,,,0,,,4,10,67,16,7
2004,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39533,0,0,25,,,0,,,4,16,25,9,6
2005,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39993,0,0,24,,,0,,,6,12,51,12,11
2006,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,40025,0,0,11,,,0,,,7,15,48,13,10
2007,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41042,0,0,52,,,0,,,4,18,35,4,5
2008,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41028,0,0,45,,,0,,,6,19,41,17,2
2009,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41674,0,0,11,,,0,,,1,10,15,5,10
2010,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41924,0,0,16,,,0,,,7,10,27,10,1
2011,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,42716,0,0,14,,,0,,,4,8,37,12,4
2012,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43426,0,0,34,,,0,,,3,10,47,11,6
2013,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43710,0,0,21,,,0,,,6,9,25,5,2
2014,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43625,0,0,,14,11,,0,0,3,10,14,14,5
