Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,25494,0,0,11,,,0,,,1,18,56,12,2
2002,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,26028,0,0,6,,,0,,,4,8,21,20,0
2003,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,26359,0,0,4,,,0,,,5,4,28,11,4
2004,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,26878,1,0,8,,,0,,,4,4,28,14,1
2005,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27276,0,0,12,,,1,,,3,5,41,4,0
2006,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,27717,0,0,12,,,0,,,2,16,29,2,1
2007,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28136,0,0,7,,,0,,,1,0,12,7,1
2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,0,0,4,,,0,,,3,8,6,5,0
2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,0,0,6,,,0,,,2,5,10,4,0
2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,0,19,,,0,,,1,4,28,0,0
2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,0,12,,,0,,,3,3,36,3,1
2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,0,0,21,,,0,,,1,7,29,11,1
2013,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29127,0,0,14,,,0,,,1,4,22,7,1
2014,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29135,0,0,,18,5,,0,0,3,4,38,9,0
