Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,152080,University of Notre Dame,1,Main Campus,11054,0,0,3,,,0,,,0,0,44,20,0
2002,152080,University of Notre Dame,1,Main Campus,11311,0,0,2,,,0,,,4,0,43,8,2
2003,152080,University of Notre Dame,1,Main Campus,11415,0,0,1,,,0,,,0,1,49,4,1
2004,152080,University of Notre Dame,1,Main Campus,11479,0,0,2,,,0,,,0,1,62,3,1
2005,152080,University of Notre Dame,1,Main Campus,11417,0,0,1,,,0,,,3,0,87,6,1
2006,152080,University of Notre Dame,1,Main Campus,11603,0,0,5,,,0,,,2,1,51,2,2
2007,152080,University of Notre Dame,1,Main Campus,11733,0,0,7,,,0,,,0,2,37,5,0
2008,152080,University of Notre Dame,1,Main Campus,11731,0,0,9,,,0,,,0,1,52,5,1
2009,152080,University of Notre Dame,1,Main Campus,11816,0,0,2,,,0,,,0,2,49,4,1
2010,152080,University of Notre Dame,1,Main Campus,11992,0,0,7,,,0,,,0,0,58,4,1
2011,152080,University of Notre Dame,1,Main Campus,12004,0,0,8,,,0,,,1,5,43,5,0
2012,152080,University of Notre Dame,1,Main Campus,12126,0,0,7,,,0,,,2,1,35,6,0
2013,152080,University of Notre Dame,1,Main Campus,12124,0,0,16,,,0,,,0,1,13,9,0
2014,152080,University of Notre Dame,1,Main Campus,12179,0,0,,15,4,,0,0,0,1,15,14,0
