Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,215062,University of Pennsylvania,1,Main Campus,22326,0,0,5,,,0,,,29,9,63,2,1
2002,215062,University of Pennsylvania,1,Main Campus,22769,0,0,11,,,0,,,9,7,43,4,1
2003,215062,University of Pennsylvania,1,Main Campus,23243,0,0,5,,,0,,,12,5,54,2,0
2004,215062,University of Pennsylvania,1,Main Campus,23305,0,0,4,,,0,,,12,5,41,2,0
2005,215062,University of Pennsylvania,1,Main Campus,23704,1,0,3,,,0,,,19,5,33,2,0
2006,215062,University of Pennsylvania,1,Main Campus,23743,0,0,3,,,0,,,15,6,28,0,0
2007,215062,University of Pennsylvania,1,Main Campus,23980,0,0,12,,,0,,,12,3,41,2,0
2008,215062,University of Pennsylvania,1,Main Campus,24107,0,0,7,,,0,,,13,4,38,2,0
2009,215062,University of Pennsylvania,1,Main Campus,24599,0,0,9,,,0,,,12,3,22,1,1
2010,215062,University of Pennsylvania,1,Main Campus,25007,0,0,9,,,0,,,3,13,11,4,1
2011,215062,University of Pennsylvania,1,Main Campus,24832,0,0,12,,,0,,,9,2,18,1,1
2011,215062,University of Pennsylvania,2,Glenolden Research Lab,24832,0,0,0,,,0,,,0,0,0,0,0
2011,215062,University of Pennsylvania,3,University Boathouse on the Schuylkill River,24832,0,0,0,,,0,,,0,0,0,0,0
2011,215062,University of Pennsylvania,4,New Bolton Center,24832,0,0,0,,,0,,,0,0,1,0,0
2011,215062,University of Pennsylvania,5,Morris Arboretum,24832,0,0,0,,,0,,,0,0,0,0,0
2011,215062,University of Pennsylvania,6,Wharton West,24832,0,0,0,,,0,,,0,0,0,0,0
2012,215062,University of Pennsylvania,1,Main Campus,24725,0,0,12,,,0,,,1,1,21,0,0
2012,215062,University of Pennsylvania,2,Glenolden Research Lab,24725,0,0,0,,,0,,,0,0,0,0,0
2012,215062,University of Pennsylvania,3,University Boathouse on the Schuylkill River,24725,0,0,0,,,0,,,0,0,0,0,0
2012,215062,University of Pennsylvania,4,New Bolton Center,24725,0,0,0,,,0,,,0,0,0,0,0
2012,215062,University of Pennsylvania,5,Morris Arboretum,24725,0,0,0,,,0,,,0,0,0,0,0
2012,215062,University of Pennsylvania,6,Wharton West,24725,0,0,0,,,0,,,0,0,0,0,0
2013,215062,University of Pennsylvania,1,Main Campus,24630,0,0,17,,,0,,,6,3,12,1,0
2013,215062,University of Pennsylvania,2,Glenolden Research Lab,24630,0,0,0,,,0,,,0,0,0,0,0
2013,215062,University of Pennsylvania,3,University Boathouse on the Schuylkill River,24630,0,0,0,,,0,,,0,0,0,0,0
2013,215062,University of Pennsylvania,4,New Bolton Center,24630,0,0,0,,,0,,,0,0,0,0,0
2013,215062,University of Pennsylvania,5,Morris Arboretum,24630,0,0,0,,,0,,,0,0,0,0,0
2013,215062,University of Pennsylvania,6,Wharton West,24630,0,0,0,,,0,,,0,0,0,0,0
2013,215062,University of Pennsylvania,7,Wharton Center City,24630,0,0,0,,,0,,,0,0,0,0,0
2014,215062,University of Pennsylvania,1,Main Campus,24806,0,0,,9,4,,0,0,6,8,29,2,2
2014,215062,University of Pennsylvania,2,Glenolden Research Lab,24806,0,0,,0,0,,0,0,0,0,0,0,0
2014,215062,University of Pennsylvania,3,University Boathouse on the Schuylkill River,24806,0,0,,0,0,,0,0,0,0,0,0,0
2014,215062,University of Pennsylvania,4,New Bolton Center,24806,0,0,,0,0,,0,0,0,0,0,0,0
2014,215062,University of Pennsylvania,5,Morris Arboretum,24806,0,0,,0,0,,0,0,0,0,0,0,0
2014,215062,University of Pennsylvania,6,Wharton West,24806,0,0,,0,0,,0,0,0,0,0,0,0
2014,215062,University of Pennsylvania,7,Wharton Center City,24806,0,0,,0,0,,0,0,0,0,0,0,0
