Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,123961,University of Southern California,1,University Park Campus,29813,0,0,8,,,1,,,3,2,85,24,1
2001,123961,University of Southern California,2,Health Sciences Campus,29813,0,0,0,,,0,,,1,0,1,1,0
2001,123961,University of Southern California,3,Catalina Island,29813,0,0,0,,,0,,,0,0,0,0,0
2001,123961,University of Southern California,4,Orange County Center,29813,0,0,0,,,0,,,0,0,0,0,0
2001,123961,University of Southern California,5,Sacramento Center,29813,0,0,0,,,0,,,0,0,0,0,0
2001,123961,University of Southern California,6,Marina del Rey,29813,0,0,0,,,0,,,0,0,0,0,0
2002,123961,University of Southern California,1,University Park Campus,30682,0,0,12,,,0,,,16,1,107,19,3
2002,123961,University of Southern California,2,Health Sciences Campus,30682,0,0,0,,,0,,,1,1,4,1,0
2002,123961,University of Southern California,3,Catalina Island,30682,0,0,0,,,0,,,0,0,0,0,0
2002,123961,University of Southern California,4,Orange County Center,30682,0,0,0,,,0,,,0,0,0,0,0
2002,123961,University of Southern California,5,Sacramento Center,30682,0,0,0,,,0,,,0,0,0,0,0
2002,123961,University of Southern California,6,Marina del Rey,30682,0,0,0,,,0,,,0,0,0,0,0
2003,123961,University of Southern California,1,University Park Campus,31606,0,0,12,,,0,,,13,1,91,20,0
2003,123961,University of Southern California,2,Health Sciences Campus,31606,0,0,1,,,0,,,0,0,1,4,0
2003,123961,University of Southern California,3,Catalina Island,31606,0,0,0,,,0,,,0,0,0,0,0
2003,123961,University of Southern California,4,Orange County Center,31606,0,0,0,,,0,,,0,0,0,0,0
2003,123961,University of Southern California,5,Sacramento Center,31606,0,0,0,,,0,,,0,0,0,0,0
2003,123961,University of Southern California,6,Marina del Rey,31606,0,0,0,,,0,,,0,0,0,0,0
2004,123961,University of Southern California,1,University Park Campus,32160,0,0,14,,,0,,,12,4,48,9,0
2004,123961,University of Southern California,2,Health Sciences Campus,32160,0,0,1,,,0,,,3,0,4,9,0
2004,123961,University of Southern California,3,Catalina Island,32160,0,0,0,,,0,,,0,0,0,0,0
2004,123961,University of Southern California,4,Orange County Center,32160,0,0,0,,,0,,,0,0,1,0,0
2004,123961,University of Southern California,5,Sacramento Center,32160,0,0,0,,,0,,,0,0,0,0,0
2005,123961,University of Southern California,1,University Park Campus,32836,0,0,13,,,0,,,9,0,89,9,0
2005,123961,University of Southern California,2,Health Sciences Campus,32836,0,0,0,,,0,,,1,1,13,3,0
2005,123961,University of Southern California,3,Catalina Island,32836,0,0,0,,,0,,,0,0,0,0,0
2005,123961,University of Southern California,4,Orange County Center,32836,0,0,0,,,0,,,0,0,0,0,0
2005,123961,University of Southern California,5,Sacramento Center,32836,0,0,0,,,0,,,0,0,0,0,0
2005,123961,University of Southern California,6,Marina del Rey,32836,0,0,0,,,0,,,0,0,0,0,0
2006,123961,University of Southern California,1,University Park Campus,33389,0,0,16,,,0,,,25,9,76,20,0
2006,123961,University of Southern California,2,Health Sciences Campus,33389,0,0,0,,,0,,,0,0,1,3,0
2006,123961,University of Southern California,3,Catalina Island,33389,0,0,0,,,0,,,0,0,0,0,0
2006,123961,University of Southern California,4,Orange County Center,33389,0,0,0,,,0,,,0,0,2,0,0
