Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,234076,University of Virginia-Main Campus,1,Main Campus,22739,0,0,20,,,0,,,4,9,9,3,1
2002,234076,University of Virginia-Main Campus,1,Main Campus,23144,0,0,17,,,0,,,0,12,8,8,6
2003,234076,University of Virginia-Main Campus,1,Main Campus,23077,0,0,23,,,0,,,2,4,82,5,0
2004,234076,University of Virginia-Main Campus,1,Main Campus,23341,0,0,23,,,0,,,0,3,93,2,5
2005,234076,University of Virginia-Main Campus,1,Main Campus,23765,0,1,20,,,0,,,0,7,69,3,10
2006,234076,University of Virginia-Main Campus,1,Main Campus,24068,0,0,8,,,0,,,3,1,96,1,3
2007,234076,University of Virginia-Main Campus,1,Main Campus,24257,0,1,4,,,0,,,6,7,73,4,5
2008,234076,University of Virginia-Main Campus,1,Main Campus,24541,0,0,14,,,0,,,2,2,76,8,0
2009,234076,University of Virginia-Main Campus,1,Main Campus,24355,0,0,8,,,0,,,2,7,89,9,2
2010,234076,University of Virginia-Main Campus,1,Main Campus,24391,0,0,17,,,0,,,5,1,69,5,0
2011,234076,University of Virginia-Main Campus,1,Main Campus,24297,0,0,13,,,0,,,1,0,54,16,0
2012,234076,University of Virginia-Main Campus,1,Main Campus,23907,0,0,11,,,0,,,1,2,60,9,1
2013,234076,University of Virginia-Main Campus,1,Main Campus,23464,0,0,26,,,0,,,0,3,52,21,0
2014,234076,University of Virginia-Main Campus,1,Main Campus,23732,0,0,,35,4,,0,0,1,0,35,6,3
