Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,221999,Vanderbilt University,1,Main Campus,10338,0,0,5,,,0,,,6,15,39,15,4
2002,221999,Vanderbilt University,1,Main Campus,10712,0,0,23,,,0,,,12,7,58,16,4
2003,221999,Vanderbilt University,1,Main Campus,11092,0,0,26,,,0,,,10,18,89,30,3
2004,221999,Vanderbilt University,1,Main Campus,11294,0,0,13,,,0,,,2,13,112,13,1
2005,221999,Vanderbilt University,1,Main Campus,11479,0,0,20,,,0,,,3,9,106,18,2
2006,221999,Vanderbilt University,1,Main Campus,11607,0,0,7,,,0,,,5,11,102,8,1
2007,221999,Vanderbilt University,1,Main Campus,11847,0,0,6,,,0,,,4,14,53,5,3
2008,221999,Vanderbilt University,1,Main Campus,12093,0,0,7,,,0,,,2,12,30,6,0
2009,221999,Vanderbilt University,1,Main Campus,12506,0,0,9,,,0,,,2,5,45,8,0
2010,221999,Vanderbilt University,1,Main Campus,12714,0,0,10,,,0,,,0,6,20,0,1
2011,221999,Vanderbilt University,1,Main Campus,12836,0,0,12,,,0,,,2,3,19,3,1
2012,221999,Vanderbilt University,1,Main Campus,12710,0,0,13,,,0,,,4,7,13,0,1
2013,221999,Vanderbilt University,1,Main Campus,12757,0,0,17,,,0,,,5,9,10,5,0
2014,221999,Vanderbilt University,1,Main Campus,12686,0,0,,17,6,,0,0,1,10,5,4,1
