Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,199847,Wake Forest University,1,Main Campus,6271,0,0,1,,,0,,,2,4,97,1,1
2002,199847,Wake Forest University,1,Main Campus,6410,0,0,1,,,0,,,2,4,50,0,0
2003,199847,Wake Forest University,1,Main Campus,6444,0,0,4,,,0,,,1,0,44,1,0
2004,199847,Wake Forest University,1,Main Campus,6504,0,0,4,,,0,,,1,0,55,0,0
2005,199847,Wake Forest University,1,Main Campus,6716,0,0,3,,,0,,,1,0,69,2,0
2006,199847,Wake Forest University,1,Main Campus,6739,0,0,3,,,0,,,0,0,83,3,1
2007,199847,Wake Forest University,1,Main Campus,6788,0,0,4,,,0,,,0,0,86,0,1
2008,199847,Wake Forest University,1,Main Campus,6862,0,0,5,,,0,,,1,1,68,4,0
2009,199847,Wake Forest University,1,Main Campus,7079,0,0,6,,,0,,,1,0,53,4,1
2010,199847,Wake Forest University,1,Main Campus,7162,0,0,7,,,0,,,0,0,74,4,1
2011,199847,Wake Forest University,1,Main Campus,7351,0,0,5,,,0,,,0,4,81,4,1
2012,199847,Wake Forest University,1,Main Campus,7432,0,0,4,,,0,,,1,2,30,8,0
2013,199847,Wake Forest University,1,Main Campus,7602,0,0,2,,,0,,,3,1,21,4,0
2014,199847,Wake Forest University,1,Main Campus,7788,0,0,,5,5,,0,0,1,0,18,16,1
