Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,179867,Washington University in St Louis,1,Danforth Campus,12187,0,0,2,,,0,,,3,0,23,11,1
2001,179867,Washington University in St Louis,2,Medical School Campus,12187,0,0,0,,,0,,,0,0,0,9,0
2002,179867,Washington University in St Louis,1,Danforth Campus,12767,0,0,3,,,0,,,3,1,18,8,2
2002,179867,Washington University in St Louis,2,Medical School Campus,12767,0,0,0,,,0,,,5,2,9,20,0
2003,179867,Washington University in St Louis,1,Danforth Campus,13020,0,0,2,,,0,,,2,0,18,4,1
2003,179867,Washington University in St Louis,2,Medical School Campus,13020,0,0,0,,,0,,,1,0,7,13,0
2004,179867,Washington University in St Louis,1,Danforth Campus,13210,0,0,10,,,0,,,1,0,22,10,1
2004,179867,Washington University in St Louis,2,Medical School Campus,13210,0,0,0,,,0,,,3,0,3,7,0
2005,179867,Washington University in St Louis,1,Danforth Campus,13383,0,0,6,,,0,,,0,3,15,8,2
2005,179867,Washington University in St Louis,2,Medical School Campus,13383,0,0,0,,,0,,,2,0,10,0,0
2006,179867,Washington University in St Louis,1,Danforth Campus,13355,0,0,4,,,0,,,0,0,29,7,0
2006,179867,Washington University in St Louis,2,Medical School Campus,13355,0,0,0,,,0,,,2,1,10,4,0
2007,179867,Washington University in St Louis,1,Danforth Campus,13382,0,0,4,,,0,,,1,0,12,1,1
2007,179867,Washington University in St Louis,2,Medical School Campus,13382,0,0,0,,,0,,,2,4,12,4,0
2008,179867,Washington University in St Louis,1,Danforth Campus,13339,0,0,7,,,0,,,1,0,30,2,0
2008,179867,Washington University in St Louis,2,Medical School Campus,13339,0,0,0,,,0,,,0,2,10,5,0
2009,179867,Washington University in St Louis,1,Danforth Campus,13575,0,0,5,,,0,,,0,0,7,6,0
2009,179867,Washington University in St Louis,2,Medical School Campus,13575,0,0,0,,,0,,,0,0,11,6,0
2010,179867,Washington University in St Louis,1,Danforth Campus,13820,0,0,5,,,0,,,0,1,15,2,0
2010,179867,Washington University in St Louis,2,Medical School Campus,13820,0,0,2,,,0,,,0,3,6,9,0
2011,179867,Washington University in St Louis,1,Danforth Campus,13908,0,0,8,,,0,,,0,0,11,0,0
2011,179867,Washington University in St Louis,2,Medical School Campus,13908,0,0,1,,,0,,,1,2,2,0,0
2012,179867,Washington University in St Louis,1,Danforth Campus,13952,0,0,9,,,0,,,1,0,1,2,0
2012,179867,Washington University in St Louis,2,Medical School Campus,13952,0,0,4,,,0,,,3,5,2,7,0
2013,179867,Washington University in St Louis,1,Danforth Campus,14032,0,0,20,,,0,,,0,0,4,0,0
2013,179867,Washington University in St Louis,2,Medical School Campus,14032,0,0,1,,,0,,,1,43,4,5,0
2014,179867,Washington University in St Louis,1,Danforth Campus,14348,0,0,,16,0,,0,0,0,2,1,0,1
2014,179867,Washington University in St Louis,2,Medical School Campus,14348,0,0,,1,0,,0,0,1,12,7,8,1
