,campus,lon,lat,total,pop,rate,state
1,A T Still University of Health Sciences,-92.5880744,40.193424,16,37038,0.43,missouri
2,Abilene Christian University,-99.7082877,32.4703417,199,64910,3.07,texas
3,Abraham Baldwin Agricultural College,-83.5259252,31.481325,153,46864,3.26,georgia
4,Academy College,-93.2997852,44.8557657,8,3164,2.53,minnesota
2558,Academy for Five Element Acupuncture,-82.322021,29.650076,1,432,2.31,florida
5,Academy of Art University,-122.4004678,37.7879584,278,169953,1.64,california
6,Academy of Chinese Culture and Health Sciences,-122.2696868,37.8059875,4,2006,1.99,california
7,Academy of Vocal Arts,-75.1737665,39.9478133,1,133,7.52,pennsylvania
8,Acupuncture and Integrative Medicine College-Berkeley,-122.267637,37.862768,2,1616,1.24,california
9,Adams State University,-105.880105,37.471212,179,75624,2.37,colorado
10,Adelphi University,-73.6505722,40.7220997,156,107677,1.45,new york
11,Adler Graduate School,-93.25229,44.862929,5,3768,1.33,minnesota
13,Adrian College,-84.0591739,41.8985832,131,18974,6.9,michigan
14,Adventist University of Health Sciences,-81.3675993,28.576276,46,28842,1.59,florida
15,Agnes Scott College,-84.2945537,33.7692226,54,11819,4.57,georgia
16,AI Miami International University of Art and Design,-80.1882434,25.7899658,81,36995,2.19,florida
17,AIB College of Business,-93.6455834,41.5619576,82,13073,6.27,iowa
19,Alabama A & M University,-86.572031,34.7846326,1163,79031,14.72,alabama
20,Alabama State University,-86.2897398,32.3643327,646,79746,8.1,alabama
21,Alaska Pacific University,-149.8027203,61.1910518,25,9979,2.51,alaska
22,Albany College of Pharmacy and Health Sciences,-73.7786,42.6519829,22,18370,1.2,new york
23,Albany Law School,-73.776883,42.651343,10,9263,1.08,new york
24,Albany Medical College,-73.7767885,42.6536322,34,10629,3.2,new york
25,Albany State University,-84.1401982,31.5710882,153,56381,2.71,georgia
26,Albertus Magnus College,-72.9226957,41.3316093,74,28527,2.59,connecticut
27,Albion College,-84.7451775,42.2440064,223,23332,9.56,michigan
28,Albright College,-75.910629,40.3615027,191,31402,6.08,pennsylvania
29,Alcorn State University,-91.1400411,31.8761569,286,49517,5.78,mississippi
30,Alderson Broaddus University,-80.053085,39.1579337,44,11219,3.92,west virginia
31,Alfred University,-77.787618,42.253238,136,29167,4.66,new york
32,Alice Lloyd College,-82.8735944,37.3359167,21,8530,2.46,kentucky
33,Allegheny College,-80.1449494,41.649349,165,28805,5.73,pennsylvania
35,Allen College,-92.340097,42.530276,20,6084,3.29,iowa
36,Allen University,-81.020246,34.010694,72,9066,7.94,south carolina
37,Alliant International University-San Diego,-118.1500089,34.0814352,85,42183,2.02,california
38,Alma College,-84.6699398,43.379011,46,19035,2.42,michigan
39,Alvernia University,-75.9354668,40.3090958,453,37638,12.04,pennsylvania
40,Alverno College,-87.9636173,42.9835246,24,34266,0.7,wisconsin
41,AM College LLC,-80.3642011,25.6863308,13,2135,6.09,florida
2434,American Academy of Acupuncture and Oriental Medicine,-93.1810083,45.0152928,1,937,1.07,minnesota
43,American Baptist College,-86.7898667,36.202408,2,1494,1.34,tennessee
44,American Baptist Seminary of the West,-122.2560423,37.8652659,20,701,28.53,california
46,American College of Traditional Chinese Medicine,-122.3980237,37.7605354,2,3528,0.57,california
47,American Conservatory Theater,-122.410247,37.7869492,1,545,1.83,california
48,American Film Institute Conservatory,-118.3099624,34.1075984,19,4631,4.1,california
50,American InterContinental University-Atlanta,-84.3549162,33.9387302,54,19363,2.79,georgia
2472,American InterContinental University-Houston,-95.5481525,29.7279889,1,4871,0.21,texas
51,American International College,-72.557144,42.112853,283,37111,7.63,massachusetts
52,American Jewish University,-118.4725275,34.1263884,3,2936,1.02,california
53,American Musical and Dramatic Academy,-73.9875806,40.7721673,15,14859,1.01,new york
54,American National University,-79.2287206,37.3524601,18,41247,0.44,virginia
2473,AmeriTech College-Draper,-111.8927234,40.5278832,1,4593,0.22,utah
56,Amherst College,-72.5170028,42.3709104,454,20621,22.02,massachusetts
58,Anabaptist Mennonite Biblical Seminary,-85.97218,41.655814,7,2068,3.38,indiana
59,Anderson University,-82.638025,34.514112,272,66640,4.08,south carolina
60,Andover Newton Theological School,-71.1889601,42.3248568,9,5092,1.77,massachusetts
61,Andrews University,-86.3593038,41.9642053,230,45542,5.05,michigan
62,Angelo State University,-100.4665211,31.4423256,166,89761,1.85,texas
63,Anna Maria College,-71.917944,42.327075,77,18457,4.17,massachusetts
64,Antioch University-Los Angeles,-118.3847529,33.9885705,3,10366,0.29,california
65,Antioch University-Midwest,-83.908854,39.8032391,14,8286,1.69,ohio
67,Antioch University-Santa Barbara,-119.6956621,34.4191422,5,4427,1.13,california
68,Antioch University-Seattle,-122.3461125,47.6158463,4,12307,0.33,washington
69,AOMA Graduate School of Integrative Medicine,-97.800636,30.228654,13,2630,4.94,texas
71,Appalachian Bible College,-81.200063,37.852625,15,3443,4.36,west virginia
72,Appalachian School of Law,-82.0964561,37.2779917,9,3945,2.28,virginia
73,Appalachian State University,-81.6841448,36.2134842,397,209521,1.89,north carolina
74,Aquinas College,-85.6285917,42.9603278,147,40566,3.62,michigan
75,Aquinas Institute of Theology,-90.2379251,38.6341331,2,3151,0.63,missouri
76,Arcadia University,-75.1648845,40.0914406,148,50847,2.91,pennsylvania
77,Argosy University-Atlanta,-84.3561621,33.920805,2,26631,0.08,georgia
78,Argosy University-Chicago,-87.624267,41.8865219,1,18591,0.05,illinois
2419,Argosy University-Dallas,-96.8231932,32.9280955,70,5502,12.72,texas
2510,Argosy University-Denver,-104.9017985,39.6563644,9,3080,2.92,colorado
79,Argosy University-Hawaii,-157.860776,21.3083006,7,6748,1.04,hawaii
2474,Argosy University-Los Angeles,-118.3733014,33.9282006,55,3920,14.03,california
2533,Argosy University-Nashville,-86.635172,36.1544254,2,3934,0.51,tennessee
80,Argosy University-Orange County,-117.8970823,33.7791358,18,10499,1.71,california
81,Argosy University-Phoenix,-112.1073419,33.5669889,25,8638,2.89,arizona
2594,Argosy University-Salt Lake City,-111.8938786,40.5342967,3,1684,1.78,utah
2534,Argosy University-San Diego,-117.1576277,32.7752592,4,2653,1.51,california
82,Argosy University-San Francisco Bay Area,-122.2676406,37.7810831,10,7949,1.26,california
83,Argosy University-Sarasota,-82.465362,27.351431,4,22053,0.18,florida
84,Argosy University-Schaumburg,-88.0439976,42.0482168,36,7250,4.97,illinois
85,Argosy University-Seattle,-122.3532039,47.6145846,18,5291,3.4,washington
86,Argosy University-Tampa,-82.4825728,27.9552391,6,7691,0.78,florida
87,Argosy University-Twin Cities,-93.1738039,44.8373018,29,24320,1.19,minnesota
88,Argosy University-Washington DC,-77.0760424,38.8942731,4,12802,0.31,district of columbia
89,Arizona Christian University,-112.026236,33.595175,46,5463,8.42,arizona
2435,Arizona School of Acupuncture and Oriental Medicine,-110.929208,32.264504,2,404,4.95,arizona
90,Arizona State University-Tempe,-111.9280527,33.4242399,3060,795691,3.85,arizona
2595,Arizona Summit Law School,-112.0732125,33.448384,1,4984,0.2,arizona
91,Arkansas Baptist College,-92.2895423,34.7350599,165,8953,18.43,arkansas
92,Arkansas State University-Main Campus,-90.6770298,35.8428152,523,166111,3.15,arkansas
93,Arkansas Tech University,-93.1386574,35.2950777,221,116425,1.9,arkansas
94,Arlington Baptist College,-97.1567294,32.7380287,3,2802,1.07,texas
95,Armstrong State University,-81.1633425,31.9782339,137,97098,1.41,georgia
96,Art Academy of Cincinnati,-84.5138767,39.1088559,51,2735,18.65,ohio
97,Art Center College of Design,-118.1851569,34.1688713,38,24138,1.57,california
98,Asbury Theological Seminary,-84.6602771,37.8624058,49,20301,2.41,kentucky
99,Asbury University,-84.6618991,37.8632761,102,21051,4.85,kentucky
100,Ashford University,-117.141995,32.8273269,73,414373,0.18,california
101,Ashland University,-82.3201275,40.8606937,204,88531,2.3,ohio
102,Assumption College,-71.8289631,42.2947143,345,39023,8.84,massachusetts
103,Athens State University,-86.9642859,34.8060722,6,39625,0.15,alabama
104,Atlanta Metropolitan State College,-84.4041439,33.7096301,43,32546,1.32,georgia
2475,Atlanta's John Marshall Law School,-84.388009,33.7934119,3,5005,0.6,georgia
106,Auburn University,-85.4951663,32.5933574,624,338431,1.84,alabama
107,Auburn University at Montgomery,-86.1766584,32.3697457,90,72983,1.23,alabama
108,Augsburg College,-93.241798,44.966821,299,50102,5.97,minnesota
109,Augustana College,-90.5507098,41.5051053,270,55072,4.9,illinois
110,Aultman College of Nursing and Health Sciences,-81.403554,40.795967,557,3211,173.47,ohio
111,Aurora University,-88.3491545,41.7541302,45,56358,0.8,illinois
112,Austin College,-96.594854,33.64626,75,18330,4.09,texas
114,Austin Peay State University,-87.3540972,36.5379773,268,130194,2.06,tennessee
115,Austin Presbyterian Theological Seminary,-97.737741,30.292518,12,2478,4.84,texas
116,Ave Maria School of Law,-81.7313185,26.242147,1,3908,0.26,florida
2436,Ave Maria University,-81.438451,26.336502,14,7405,1.89,florida
117,Averett University,-79.4134872,36.5776792,135,22918,5.89,virginia
2535,Averett University-Non-Traditional Programs,-79.4134872,36.5776792,39,12350,3.16,virginia
118,Avila University,-94.5926275,38.9124721,97,25800,3.76,missouri
119,Azusa Pacific University,-117.8883593,34.1300755,575,122602,4.69,california
120,Babson College,-71.2659951,42.2993708,93,46574,2,massachusetts
121,Bacone College,-95.3350876,35.7767117,172,12398,13.87,oklahoma
123,Baker College Center for Graduate Studies,-83.6961214,42.9754572,72,68419,1.05,michigan
2437,Baker College of Allen Park,-83.2031613,42.2745576,3,31692,0.09,michigan
124,Baker College of Auburn Hills,-83.250266,42.65936,16,47752,0.34,michigan
125,Baker College of Cadillac,-85.3838296,44.2657778,1,22802,0.04,michigan
126,Baker College of Clinton Township,-82.903065,42.551025,19,69623,0.27,michigan
127,Baker College of Flint,-83.6961214,42.9754572,107,79872,1.34,michigan
128,Baker College of Jackson,-84.4513693,42.2776181,5,27625,0.18,michigan
129,Baker College of Muskegon,-86.1967879,43.2434806,52,63786,0.82,michigan
130,Baker College of Owosso,-84.1731871,42.9848669,29,39933,0.73,michigan
131,Baker College of Port Huron,-82.468541,42.978242,3,20460,0.15,michigan
132,Baker University,-95.188819,38.777439,98,36751,2.67,kansas
133,Baldwin Wallace University,-81.848391,41.3735087,251,61572,4.08,ohio
